URL	Start Time	End Time	RTT (ms)	Status Code	Total Size (KB)	Throughput (KB/s)
http://10.40.1.135/index2.html	2025-12-03 16:36:43.233189	2025-12-03 16:36:43.251981	18.77	200	4336.15	8002.95
http://10.40.1.135/index1.html	2025-12-03 16:36:44.233800	2025-12-03 16:36:44.251649	17.83	200	3280.87	8104.2
http://10.40.1.135/index8.html	2025-12-03 16:36:45.234938	2025-12-03 16:36:45.251762	16.81	200	6086.97	8899.35
http://10.40.1.135/index7.html	2025-12-03 16:36:46.235834	2025-12-03 16:36:46.248997	13.14	200	8054.41	9951.62
http://10.40.1.135/index7.html	2025-12-03 16:36:47.236894	2025-12-03 16:36:47.253808	16.89	200	8054.41	10413.78
http://10.40.1.135/index8.html	2025-12-03 16:36:48.237711	2025-12-03 16:36:48.257724	19.95	200	6086.97	11254.97
http://10.40.1.135/index1.html	2025-12-03 16:36:49.239015	2025-12-03 16:36:49.257097	18.06	200	3280.87	10369.92
http://10.40.1.135/index3.html	2025-12-03 16:36:50.239734	2025-12-03 16:36:50.259310	19.54	200	8540.05	10278.34
http://10.40.1.135/index1.html	2025-12-03 16:36:51.240816	2025-12-03 16:36:51.256788	15.94	200	3280.87	9589.95
http://10.40.1.135/index9.html	2025-12-03 16:36:52.241787	2025-12-03 16:36:52.259387	17.58	200	2820.52	9579.88
http://10.40.1.135/index6.html	2025-12-03 16:36:53.242687	2025-12-03 16:36:53.259345	16.61	200	2261.11	9203.35
http://10.40.1.135/index3.html	2025-12-03 16:36:54.244065	2025-12-03 16:36:54.263591	19.51	200	8540.05	11176.72
http://10.40.1.135/index1.html	2025-12-03 16:36:55.244764	2025-12-03 16:36:55.262629	17.85	200	3280.87	7416.07
http://10.40.1.135/index3.html	2025-12-03 16:36:56.246212	2025-12-03 16:36:56.265494	19.26	200	8540.05	9981.38
http://10.40.1.135/index3.html	2025-12-03 16:36:57.246829	2025-12-03 16:36:57.264841	17.99	200	8540.05	11316.86
http://10.40.1.135/index7.html	2025-12-03 16:36:58.248057	2025-12-03 16:36:58.267093	19.02	200	8054.41	10869.22
http://10.40.1.135/index6.html	2025-12-03 16:36:59.249631	2025-12-03 16:36:59.262274	12.62	200	2261.11	6569.08
http://10.40.1.135/index9.html	2025-12-03 16:37:00.250827	2025-12-03 16:37:00.267107	16.26	200	2820.52	7705.33
http://10.40.1.135/index4.html	2025-12-03 16:37:01.251785	2025-12-03 16:37:01.264235	12.43	200	5061.61	10670.73
http://10.40.1.135/index1.html	2025-12-03 16:37:02.252921	2025-12-03 16:37:02.271659	18.72	200	3280.87	6339.24
http://10.40.1.135/index7.html	2025-12-03 16:37:03.253859	2025-12-03 16:37:03.272587	18.49	200	8054.41	10130.71
http://10.40.1.135/index8.html	2025-12-03 16:37:04.255493	2025-12-03 16:37:04.272744	17.23	200	6086.97	8892.01
http://10.40.1.135/index5.html	2025-12-03 16:37:05.256789	2025-12-03 16:37:05.274498	17.59	200	5061.6	9383.19
http://10.40.1.135/index8.html	2025-12-03 16:37:06.257757	2025-12-03 16:37:06.273717	15.93	200	6086.97	11015.19
http://10.40.1.135/index5.html	2025-12-03 16:37:07.258854	2025-12-03 16:37:07.274387	15.52	200	5061.6	8990.39
http://10.40.1.135/index5.html	2025-12-03 16:37:08.260021	2025-12-03 16:37:08.282498	22.45	200	5061.6	9571.94
http://10.40.1.135/index4.html	2025-12-03 16:37:09.262007	2025-12-03 16:37:09.279110	17.08	200	5061.61	9817.41
http://10.40.1.135/index1.html	2025-12-03 16:37:10.263664	2025-12-03 16:37:10.276000	12.31	200	3280.87	8065.9
http://10.40.1.135/index1.html	2025-12-03 16:37:11.264830	2025-12-03 16:37:11.285597	20.75	200	3280.87	7837.76
Total			2017.44		498864.64	952878.0
Average			20.17		4988.65	9528.78
# Eviction Analysis (Threshold 20%): Count=1, Total_Req=100, Rate=1.00%
